sample-id,Phasic_community,Simpson,Shannon,Observed_Features,Chao1
st1_1,Mangrove,0.877052366681688,7.010364161830088,1784.92,2789.840020157971
st1_2,Mangrove,0.8803153551581271,7.324211946211712,1751.14,2572.2034636829144
st1_3,Mangrove,0.8938814347172871,8.318348011626766,2170.76,3276.6298422927066
st1_4,Mangrove,0.8945801090864255,8.233024097943341,2204.09,3485.0520583935245
st1_5,Mangrove,0.8953742290760232,8.244097422055408,1963.3,2850.7626476182922
st1_6,Mangrove,0.8904744076913574,7.294499456561189,1298.92,1953.5587837509584
st1_7,Mangrove,0.8913031862252438,7.338781289816459,1270.84,1748.8554826011425
st2_1,Mixed forest,0.8662026071221892,7.010599924477774,1493.76,1994.877618053195
st2_2,Mixed forest,0.8154628808350783,5.6850490322819995,1197.11,1559.6141992539747
st2_3,Mixed forest,0.8881022437381829,7.189248365795236,1160.57,1534.5090383555157
st2_4,Mixed forest,0.881560633231948,7.006261252406662,1223.54,1637.2753927970616
st2_5,Mixed forest,0.8705979055224055,5.810296184306175,558.7,770.1520265367704
st2_6,Mixed forest,0.8544407138342096,5.840862827385561,735.44,930.0887783749163
st2_7,Mixed forest,0.8640973542679565,5.769133610963696,492.5,572.6160413859881
st4_1,Stunted hardwood,0.8803557593953927,6.460729954987287,698.45,870.669728436984
st4_2,Stunted hardwood,0.8317291456324252,5.810818952707905,811.85,1075.8749763933195
st4_3,Stunted hardwood,0.7177145425107497,4.58785978997756,999.58,1379.5539611139297
st4_4,Stunted hardwood,0.8825728597479433,6.301166154549006,685.76,877.6845971503757
st4_5,Stunted hardwood,0.8678924134246786,5.86064517438712,621.54,840.6247563105728
st4_6,Stunted hardwood,0.8891929044243496,7.10060838509293,1071.61,1446.0838697582194
st4_7,Stunted hardwood,0.8858297281074664,6.995099011557159,1094.56,1575.4821196845476
st5_1,Sawgrass,0.878164250268837,7.227436945929968,1308.78,1752.86665995697
st5_2,Sawgrass,0.8525999846637119,5.6329509878475434,667.73,952.2759172048676
st5_3,Sawgrass,0.8843361338976585,6.980882943202467,1077.08,1423.9546624876994
st5_4,Sawgrass,0.871365298622875,5.933519021637169,662.07,885.3317440364921
st5_5,Sawgrass,0.8642250523390181,5.6211232683530366,522.73,674.7238471255281
st5_6,Sawgrass,0.8789358438711932,6.267814351612385,804.93,1125.0018131678494
st5_7,Sawgrass,0.8815202767562114,6.1979969211516535,706.06,1000.1485070704442
ERR2094394,Eleiodoxa conferta,0.896692548092996,8.141192294472216,795.36,816.6925068690332
ERR2094401,Eleiodoxa conferta,0.8954291539316033,7.622536944948694,565.51,575.6751378274369
ERR2094406,Eleiodoxa conferta,0.8957995218550834,7.724987076142991,604.28,615.3018558373373
ERR2094408,Eleiodoxa conferta,0.8961467119041542,7.677283463455578,542.55,550.7820307636873
ERR2094412,Eleiodoxa conferta,0.8967780655117636,7.976887539161799,727.79,748.0117012354312
ERR2094415,Eleiodoxa conferta,0.8969739861279384,8.110347535579335,767.11,786.7432183755539
ERR2094418,Eleiodoxa conferta,0.8939443550972759,7.56236304545864,630.61,647.979735350058
ERR2094423,Koompassia malaccensis,0.8952045198411065,7.417885360992986,473.38,482.22744070568217
ERR2094425,Koompassia malaccensis,0.8963540830600576,7.769265978808053,584.71,596.8630218170341
ERR2094426,Koompassia malaccensis,0.8943809410778178,7.576431002429898,629.84,649.3502768275687
ERR2094432,Koompassia malaccensis,0.8929355717332804,7.16568825748426,461.19,469.11081508271513
ERR2094436,Rubroshorea uliginosa,0.8978188790696688,8.35014889036731,900.62,934.6164128306201
ERR2094438,Rubroshorea uliginosa,0.8948904667843744,7.818177415968253,797.68,832.8585458946837
ERR2094439,Rubroshorea uliginosa,0.8945627187972045,7.52782326008398,579.74,594.7016983290746
ERR2094440,Rubroshorea uliginosa,0.8953407064377508,7.607452750568492,592.54,605.7083077173999
ERR2094441,Rubroshorea uliginosa,0.8946572848417421,7.540728618475302,567.34,579.4237742251609
ERR2094442,Rubroshorea uliginosa,0.8966247601983207,7.939035737352323,697.9,717.4819783556427
ERR2094443,Rubroshorea uliginosa,0.8958701697820787,7.910357525717593,716.54,734.0027109374876
ERR2094445,Rubroshorea uliginosa,0.8957817551073327,7.666365916017852,569.04,579.4790780056986
ERR2094446,Rubroshorea uliginosa,0.8959433315401132,7.709949320034073,604.27,619.8714392078138
ERR2094447,Rubroshorea uliginosa,0.8949936652244578,7.4766822175597705,522.18,533.2103035434292
ERR2094452,Rubroshorea uliginosa,0.896797429373287,8.079553747516417,833.04,869.6162927173448
ERR2094456,Rubroshorea uliginosa,0.895335110869362,7.54936795864545,560.69,574.4488015194124
ERR2094458,Rubroshorea uliginosa,0.8972195129258423,8.064214729918548,732.72,750.6909889583274
ERR2094459,Rubroshorea uliginosa,0.8972300228459575,8.254388309527625,931.22,971.322006781066
ERR2094460,Rubroshorea uliginosa,0.8969158165157354,7.885082072715645,614.23,626.0390716054355
ERR2094461,Rubroshorea uliginosa,0.8952589784515219,7.415670609924473,452.37,458.07262734665295
ERR2094462,Rubroshorea uliginosa,0.8944966849997883,7.272324871079966,453.98,462.328272010872
SRR5311956,Bog,0.8872738998813398,7.2223765977460435,613.31,633.2900422630884
SRR5311957,Bog,0.8576039663858748,6.1922645897469275,374.92,381.5293964077028
SRR5311958,Campnosperma,0.891502574566134,7.610438858382663,892.32,958.0095980838108
SRR5311959,Campnosperma,0.8961569976486691,7.818132201161143,675.36,692.7787165915336
SRR5311961,Campnosperma,0.8960141147368355,7.82099898993012,649.86,663.174904694476
SRR5311962,Campnosperma,0.896292989154974,8.039515525774512,820.16,850.9505360790695
SRR5311965,Campnosperma,0.8963031549252853,7.99432270215257,832.91,872.6928150319935
SRR5311968,Mixed forest,0.8966258279228189,7.9229733270349065,718.38,740.8640726270479
SRR5311970,Mixed forest,0.8967766107014407,8.071556909322586,820.34,852.709602854882
SRR5311971,Mixed forest,0.8969410542843542,8.068395235305912,786.4,812.3093521717585
SRR5311972,Mixed forest,0.8957735294293248,7.541393825005733,518.43,527.8184139411659
SRR5311977,Raphia,0.8963455672839143,7.834403693699267,693.38,717.2625668007053
SRR5311978,Raphia,0.8965757399488662,7.865787656639904,669.54,687.758782459069
SRR5311982,Bog,0.8974867236826757,8.445807865987984,1132.91,1198.0162245156362
SRR5311984,Bog,0.8736383559651714,6.934484722124211,729.66,768.9753602315764
SRR5311986,Bog,0.8781685158471078,7.04864536569303,755.26,810.762361492191
SRR5311988,Campnosperma,0.8970103657595823,8.402332145087975,1226.23,1316.7373412390764
SRR5311990,Campnosperma,0.8962585104254963,8.072106826590431,909.88,952.6301540741109
SRR5311991,Campnosperma,0.8917341178762964,7.605116805289079,702.33,726.4015268506627
SRR5311992,Campnosperma,0.8962862674521881,7.8232393389176105,645.54,661.1638925515881
SRR5312001,Campnosperma,0.8954523822255953,7.9009692349841325,783.82,814.6922014519473
SRR5312005,Mixed forest,0.8972010882701384,8.477733308431544,1335.83,1462.0122789172958
SRR5312007,Mixed forest,0.896912417311114,8.360265429843844,1367.61,1537.254200394623
SRR5312008,Mixed forest,0.8953336605045401,7.585703273852312,549.74,560.5452397527706
SRR5312009,Mixed forest,0.8974277926277933,8.50383805058491,1329.45,1455.88268227392
SRR5312010,Mixed forest,0.8964206443133151,8.16200778705262,931.32,975.7993881737432
SRR5312011,Mixed forest,0.8974760756278719,8.498093557851846,1293.5,1405.5351263639075
SRR5312013,Mixed forest,0.8976178334775353,8.574743220002574,1327.18,1440.9000046492638
SRR5312014,Mixed forest,0.8957059675244302,8.015059554631417,940.44,1001.7419770127007
SRR5312015,Mixed forest,0.8971312039112296,8.288825691460888,1087.57,1163.2584616233853
SRR5312019,Mixed forest,0.8970678163217498,8.38416056310249,1176.2,1262.0882735614275
SRR5312021,Mixed forest,0.8967100595975478,8.164389578390823,1066.31,1144.2370905279736
SRR5312023,Raphia,0.8976114487325773,8.4972492785659,1179.32,1256.7660827932204
SRR5312024,Raphia,0.8968296723335618,7.95476937252161,681.59,698.2031038624535
SRR5312027,Raphia,0.8963752275294435,7.903823641156272,719.56,741.9818615143087
SRR5312029,Raphia,0.8927318048412626,7.166891021289383,482.97,494.43255804492475
SRR5312034,Raphia,0.8968242927819354,8.06475666910841,799.78,827.5592369511909
